a_hood,b_hood,a_scale,b_scale
G-buurt West,D-buurt,1,1
G-buurt West,Bijlmerpark West,1,1
G-buurt West,Bijlmerpark Oost,1,1
G-buurt West,Bijlmermuseum Noord,1,1
Gein Noordoost,Gein Zuidwest,1,1
Gein Noordoost,Gein Zuidoost,1,1
Gein Noordoost,Gein Noordwest,1,1
Gein Noordoost,Gaasperplas,1,1
Gein Noordwest,L-buurt,1,1
Gein Noordwest,Gein Zuidwest,1,1
Gein Noordwest,Gein Zuidoost,1,1
Gein Noordwest,Gein Noordoost,1,1
Gein Noordwest,Gaasperplas,1,1
Gein Noordwest,Gaasperdam Zuid,1,1
Gein Noordwest,Gaasperdam Noord,1,1
Gein Zuidoost,Reigersbos Zuid,1,1
Gein Zuidoost,Gein Zuidwest,1,1
Gein Zuidoost,Gein Noordwest,1,1
Gein Zuidoost,Gein Noordoost,1,1
Gein Zuidoost,Gaasperdam Zuid,1,1
Gein Zuidwest,Reigersbos Zuid,1,1
Gein Zuidwest,Gein Zuidoost,1,1
Gein Zuidwest,Gein Noordwest,1,1
Gein Zuidwest,Gein Noordoost,1,1
Gein Zuidwest,Gaasperdam Zuid,1,1
Gein Zuidwest,Gaasperdam Noord,1,1
Gelderlandpleinbuurt,VU-kwartier,1,1
Gelderlandpleinbuurt,Vivaldi,1,1
Gelderlandpleinbuurt,De Klenckebuurt,1,1
Gelderlandpleinbuurt,Buitenveldert Zuidwest,1,1
Gelderlandpleinbuurt,Buitenveldert Zuidoost,1,1
Gelderlandpleinbuurt,Buitenveldert West Midden,1,1
Gelderlandpleinbuurt,Buitenveldert Oost Midden,1,1
Gerard Doubuurt,Sarphatiparkbuurt,1,1
Gerard Doubuurt,Frederikspleinbuurt,1,1
Gerard Doubuurt,Frans Halsbuurt,1,1
Geuzenhofbuurt,Landlust Zuid,2,2
Gouden Bocht,Van Loonbuurt,1,1
Gouden Bocht,Spiegelbuurt,1,1
Gouden Bocht,Reguliersbuurt,1,1
Gouden Bocht,Leidsegracht Zuid,1,1
Groenmarktkadebuurt,Marnixbuurt Midden,3,3
Grunder/Koningshoef,K-buurt Midden,1,1
Grunder/Koningshoef,Kantershof,1,1
Grunder/Koningshoef,G-buurt West,1,1
Grunder/Koningshoef,G-buurt Oost,1,1
Grunder/Koningshoef,Bijlmermuseum Noord,1,1
GWL-terrein,Westerstaatsman,2,2
GWL-terrein,Westergasfabriek,2,2
Haarlemmerbuurt West,Westerdokseiland,1,1
Haarlemmerbuurt West,Westelijke eilanden,1,1
Haarlemmerbuurt West,Langestraat e.o.,1,1
Hakfort/Huigenbos,Rechte H-buurt,1,1
Hakfort/Huigenbos,Huntum,1,1
Hakfort/Huigenbos,Hoptille,1,1
Hakfort/Huigenbos,Holendrecht West,1,1
Hakfort/Huigenbos,Holendrecht Oost,1,1
Hakfort/Huigenbos,Amstel III deel A/B Zuid,1,1
Hakfort/Huigenbos,Amstel III deel A/B Noord,1,1
Harmoniehofbuurt,Wielingenbuurt,2,2
Harmoniehofbuurt,Hondecoeterbuurt,2,2
Harmoniehofbuurt,Hiltonbuurt,2,2
Harmoniehofbuurt,Hercules Seghersbuurt,2,2
Harmoniehofbuurt,Duivelseiland,2,2
Harmoniehofbuurt,Diepenbrockbuurt,2,2
Harmoniehofbuurt,Cornelis Troostbuurt,2,2
Harmoniehofbuurt,Beethovenbuurt,2,2
Haveneiland Noord,Haveneiland Zuidwest/Rieteiland West,1,1
Haveneiland Noord,Haveneiland Oost,1,1
Haveneiland Noord,Haveneiland Noordwest,1,1
Haveneiland Noord,Centrumeiland,1,1
Haveneiland Noordwest,Steigereiland Zuid,1,1
Haveneiland Noordwest,Steigereiland Noord,1,1
Haveneiland Noordwest,Haveneiland Zuidwest/Rieteiland West,1,1
Haveneiland Noordwest,Haveneiland Oost,1,1
Haveneiland Noordwest,Haveneiland Noord,1,1
Haveneiland Noordwest,Durgerdam,1,1
Haveneiland Noordwest,Centrumeiland,1,1
Haveneiland Oost,Nieuwe Diep/Diemerpark,1,1
Haveneiland Oost,Haveneiland Zuidwest/Rieteiland West,1,1
Haveneiland Oost,Haveneiland Noordwest,1,1
Haveneiland Oost,Haveneiland Noord,1,1
Haveneiland Oost,Centrumeiland,1,1
Haveneiland Zuidwest/Rieteiland West,Steigereiland Zuid,1,1
Haveneiland Zuidwest/Rieteiland West,Steigereiland Noord,1,1
Haveneiland Zuidwest/Rieteiland West,Nieuwe Diep/Diemerpark,1,1
Haveneiland Zuidwest/Rieteiland West,Haveneiland Oost,1,1
Haveneiland Zuidwest/Rieteiland West,Haveneiland Noordwest,1,1
Haveneiland Zuidwest/Rieteiland West,Haveneiland Noord,1,1
Helmersbuurt Oost,WG terrein,1,1
Helmersbuurt Oost,Da Costabuurt Zuid,1,1
Hemonybuurt,Willibrordusbuurt,1,1
Hemonybuurt,Van der Helstpleinbuurt,1,1
Hemonybuurt,Swammerdambuurt,1,1
Hemonybuurt,Sarphatiparkbuurt,1,1
Hemonybuurt,Frederikspleinbuurt,1,1
Hercules Seghersbuurt,Lizzy Ansinghbuurt,2,2
Hercules Seghersbuurt,Johannnes Vermeerbuurt,2,2
Hercules Seghersbuurt,Harmoniehofbuurt,2,2
Hercules Seghersbuurt,Duivelseiland,2,2
Hercules Seghersbuurt,Cornelis Troostbuurt,2,2
Het Funen,Bedrijvengebied Zeeburgerkade,1,1
Hiltonbuurt,Minervabuurt Noord,2,2
Hiltonbuurt,Marathonbuurt Oost,2,2
Hiltonbuurt,Hondecoeterbuurt,2,2
Hiltonbuurt,Harmoniehofbuurt,2,2
Hiltonbuurt,Beethovenbuurt,2,2
Hoge Dijk,Reigersbos Zuid,1,1
Hoge Dijk,Reigersbos Midden,1,1
Hoge Dijk,Amstel III deel C/D Zuid,1,1
Hoge Dijk,AMC,1,1
Holendrecht Oost,Reigersbos Noord,1,1
Holendrecht Oost,L-buurt,1,1
Holendrecht Oost,Huntum,1,1
Holendrecht Oost,Holendrecht West,1,1
Holendrecht Oost,Hakfort/Huigenbos,1,1
Holendrecht Oost,Gaasperdam Noord,1,1
Holendrecht Oost,Bijlmerpark West,1,1
Holendrecht Oost,Bijlmerpark Oost,1,1
Holendrecht West,Reigersbos Noord,1,1
Holendrecht West,Huntum,1,1
Holendrecht West,Holendrecht Oost,1,1
Holendrecht West,Hakfort/Huigenbos,1,1
Holendrecht West,Amstel III deel A/B Zuid,1,1
Holendrecht West,Amstel III deel A/B Noord,1,1
Holendrecht West,AMC,1,1
Holysloot,Zwarte Gouw,1,1
Holysloot,Zunderdorp,1,1
Holysloot,Ransdorp,1,1
Holysloot,Durgerdam,1,1
Hondecoeterbuurt,Museumplein,2,2
Hondecoeterbuurt,Johannnes Vermeerbuurt,2,2
Hondecoeterbuurt,Hiltonbuurt,2,2
Hondecoeterbuurt,Harmoniehofbuurt,2,2
Hondecoeterbuurt,Duivelseiland,2,2
Hondecoeterbuurt,Concertgebouwbuurt,2,2
Hondecoeterbuurt,Beethovenbuurt,2,2
Hoofdcentrum Zuidoost,Venserpolder West,1,1
Hoofdcentrum Zuidoost,Amsterdamse Poort,1,1
Hoofdcentrum Zuidoost,Amstel III deel C/D Noord,1,1
Hoofdcentrum Zuidoost,Amstel III deel A/B Noord,1,1
Hoptille,Rechte H-buurt,1,1
Hoptille,Hakfort/Huigenbos,1,1
Hoptille,Amsterdamse Poort,1,1
Hoptille,Amstel III deel A/B Noord,1,1
Houthavens Oost,Westerdokseiland,1,1
Houthavens Oost,Westelijke eilanden,1,1
Houthavens Oost,Overhoeks,1,1
Houthavens Oost,Houthavens West,1,1
Houthavens Oost,Cornelis Douwesterrein,1,1
Houthavens Oost,Buiksloterham,1,1
Houthavens West,Spaarndammerbuurt Noordoost,1,1
Houthavens West,Spaarndammerbuurt Midden,1,1
Houthavens West,Overbraker Binnenpolder,1,1
Houthavens West,Houthavens Oost,1,1
Houthavens West,Cornelis Douwesterrein,1,1
Houthavens West,Coenhaven/Mercuriushaven,1,1
Huntum,Rechte H-buurt,1,1
Huntum,Holendrecht West,1,1
Huntum,Holendrecht Oost,1,1
Huntum,Hakfort/Huigenbos,1,1
Huntum,Bijlmerpark West,1,1
IJplein e.o.,Stationsplein e.o.,1,1
IJplein e.o.,Oosterdokseiland,1,1
IJplein e.o.,Oostelijke Handelskade,1,1
IJplein e.o.,Java-eiland,1,1
IJsselbuurt Oost,Weesperzijde Midden/Zuid,1,1
IJsselbuurt Oost,Diamantbuurt,1,1
IJsselbuurt West,Scheldebuurt West,2,2
IJsselbuurt West,Scheldebuurt Oost,2,2
IJsselbuurt West,Scheldebuurt Midden,2,2
IJsselbuurt West,Lizzy Ansinghbuurt,2,2
IJsselbuurt West,Kromme Mijdrechtbuurt,2,2
Jacob Geelbuurt,Oostoever Sloterplas,1,1
Jacob Geelbuurt,Louis Chrispijnbuurt,1,1
Jacob Geelbuurt,Jacques Veldmanbuurt,1,1
Jacob Geelbuurt,Emanuel van Meterenbuurt,1,1
Jacques Veldmanbuurt,Louis Chrispijnbuurt,1,1
Jacques Veldmanbuurt,Koningin Wilhelminaplein,1,1
Jacques Veldmanbuurt,Jacob Geelbuurt,1,1
Jacques Veldmanbuurt,Emanuel van Meterenbuurt,1,1
Jan Maijenbuurt,Orteliusbuurt Noord,2,2
Jan Maijenbuurt,Orteliusbuurt Midden,2,2
Jan Maijenbuurt,Balboaplein e.o.,2,2
Java-eiland,Sporenburg,1,1
Java-eiland,Oosterdokseiland,1,1
Java-eiland,Oostelijke Handelskade,1,1
Java-eiland,KNSM-eiland,1,1
Java-eiland,IJplein e.o.,1,1
Jeugdland,Nieuwendam Noordwest Noord,1,1
Jeugdland,Buikslotermeer Noord,1,1
Jeugdland,Banne Zuidoost,1,1
Jeugdland,Banne Noordoost,1,1
Johan Jongkindbuurt,Schipluidenbuurt,2,2
Johan Jongkindbuurt,Overtoomse veld Zuid,2,2
Johannnes Vermeerbuurt,Museumplein,2,2
Johannnes Vermeerbuurt,Hondecoeterbuurt,2,2
Johannnes Vermeerbuurt,Hercules Seghersbuurt,2,2
Johannnes Vermeerbuurt,Duivelseiland,2,2
Johannnes Vermeerbuurt,Concertgebouwbuurt,2,2
John Franklinbuurt,Filips van Almondekwartier,1,1
John Franklinbuurt,Erasmusparkbuurt West,1,1
Julianapark,Van der Kunbuurt,2,2
Julianapark,Tuindorp Frankendael,2,2
Julianapark,Frankendael,2,2
Julianapark,De Eenhoorn,2,2
Kadijken,Wittenburg,1,1
Kadijken,Rapenburg,1,1
Kadijken,Oostenburg,1,1
Kadijken,Marine-Etablissement,1,1
Kadijken,Kattenburg,1,1
Kadoelen,Twiske West,1,1
Kadoelen,Twiske Oost,1,1
Kadoelen,Terrasdorp,1,1
Kadoelen,Oostzanerdijk,1,1
Kadoelen,De Bongerd,1,1
Kadoelen,Banne Zuidwest,1,1
Kadoelen,Banne Noordwest,1,1
Kalverdriehoek,Spuistraat Zuid,3,3
Kalverdriehoek,Begijnhofbuurt,3,3
Kantershof,K-buurt Zuidoost,1,1
Kantershof,K-buurt Midden,1,1
Kantershof,Grunder/Koningshoef,1,1
Kantershof,G-buurt Oost,1,1
Kantershof,Gaasperpark,1,1
Kattenburg,Wittenburg,1,1
Kattenburg,Oostelijke Handelskade,1,1
Kattenburg,Marine-Etablissement,1,1
Kattenburg,Kadijken,1,1
Kazernebuurt,Plantage,2,2
Kazernebuurt,Dapperbuurt Noord,2,2
Kazernebuurt,Czaar Peterbuurt,2,2
K-buurt Midden,Kortvoort,1,1
K-buurt Midden,Kelbergen,1,1
K-buurt Midden,K buurt Zuidwest,1,1
K-buurt Midden,K-buurt Zuidoost,1,1
K-buurt Midden,Kantershof,1,1
K-buurt Midden,Grunder/Koningshoef,1,1
K-buurt Zuidoost,L-buurt,1,1
K-buurt Zuidoost,K buurt Zuidwest,1,1
K-buurt Zuidoost,K-buurt Midden,1,1
K-buurt Zuidoost,Kantershof,1,1
K-buurt Zuidoost,Gaasperpark,1,1
K buurt Zuidwest,L-buurt,1,1
K buurt Zuidwest,Kelbergen,1,1
K buurt Zuidwest,K-buurt Zuidoost,1,1
K buurt Zuidwest,K-buurt Midden,1,1
K buurt Zuidwest,Gaasperpark,1,1
Kelbergen,L-buurt,1,1
Kelbergen,Kortvoort,1,1
Kelbergen,K buurt Zuidwest,1,1
Kelbergen,K-buurt Midden,1,1
Kelbergen,Bijlmerpark Oost,1,1
KNSM-eiland,Zeeburgereiland Noordwest,1,1
KNSM-eiland,Sporenburg,1,1
KNSM-eiland,Schellingwoude West,1,1
KNSM-eiland,Schellingwoude Oost,1,1
KNSM-eiland,Java-eiland,1,1
KNSM-eiland,Bedrijventerrein Nieuwendammerdijk,1,1
Kolenkitbuurt Noord,Teleport,1,1
Kolenkitbuurt Noord,Kolenkitbuurt Zuid,1,1
Kolenkitbuurt Noord,Buurt 3,1,1
Kolenkitbuurt Zuid,Kolenkitbuurt Noord,1,1
Kolenkitbuurt Zuid,Buurt 3,1,1
Koningin Wilhelminaplein,Jacques Veldmanbuurt,1,1
Koningin Wilhelminaplein,Delflandpleinbuurt Oost,1,1
Koningin Wilhelminaplein,Andreasterrein,1,1
Kop Zeedijk,Stationsplein e.o.,1,1
Kop Zeedijk,Oude Kerk e.o.,1,1
Kop Zeedijk,Oosterdokseiland,1,1
Kop Zeedijk,Burgwallen Oost,1,1
Kortenaerkwartier,Trompbuurt,3,3
Kortvoort,Kelbergen,1,1
Kortvoort,K-buurt Midden,1,1
Kortvoort,G-buurt West,1,1
Kortvoort,Bijlmerpark Oost,1,1
Kortvoort,Bijlmermuseum Noord,1,1
Kromme Mijdrechtbuurt,Van der Kunbuurt,2,2
Kromme Mijdrechtbuurt,Scheldebuurt Oost,2,2
Kromme Mijdrechtbuurt,Rijnbuurt Oost,2,2
Kromme Mijdrechtbuurt,IJsselbuurt West,2,2
Landelijk gebied Driemond,Gaasperplas,1,1
Landelijk gebied Driemond,Gaasperpark,1,1
Landelijk gebied Driemond,Dorp Driemond,1,1
Landlust,Landlust Zuid,2,2
Landlust,Erasmusparkbuurt Oost,2,2
Landlust,Bosleeuw,2,2
Landlust Zuid,Pieter van der Doesbuurt,2,2
Landlust Zuid,Landlust,2,2
Landlust Zuid,Geuzenhofbuurt,2,2
Landlust Zuid,Erasmusparkbuurt Oost,2,2
Langestraat e.o.,Leliegracht e.o.,1,1
Langestraat e.o.,Haarlemmerbuurt West,1,1
Lastage,Scheepvaarthuisbuurt,2,2
L-buurt,Kelbergen,1,1
L-buurt,K buurt Zuidwest,1,1
L-buurt,K-buurt Zuidoost,1,1
L-buurt,Holendrecht Oost,1,1
L-buurt,Gein Noordwest,1,1
L-buurt,Gaasperplas,1,1
L-buurt,Gaasperpark,1,1
L-buurt,Gaasperdam Noord,1,1
L-buurt,Bijlmerpark West,1,1
L-buurt,Bijlmerpark Oost,1,1
Legmeerpleinbuurt,Surinamepleinbuurt,2,2
Legmeerpleinbuurt,Schinkelbuurt Noord,2,2
Legmeerpleinbuurt,Aalsmeerwegbuurt West,2,2
Legmeerpleinbuurt,Aalsmeerwegbuurt Oost,2,2
Leidsebuurt Zuidoost,Den Texbuurt,3,3
Leidsebuurt Zuidwest,Vondelparkbuurt Oost,2,2
Leidsebuurt Zuidwest,Marnixbuurt Zuid,2,2
Leidsegracht Noord,Leidsegracht Zuid,1,1
Leidsegracht Noord,Felix Meritisbuurt,1,1
Leidsegracht Zuid,Spiegelbuurt,1,1
Leidsegracht Zuid,Reguliersbuurt,1,1
Leidsegracht Zuid,Leidsegracht Noord,1,1
Leidsegracht Zuid,Gouden Bocht,1,1
Leliegracht e.o.,Langestraat e.o.,1,1
Leliegracht e.o.,Felix Meritisbuurt,1,1
Leliegracht e.o.,Elandsgrachtbuurt,1,1
Linnaeusparkbuurt,Tuindorp Frankendael,2,2
Linnaeusparkbuurt,Middenmeer Zuid,2,2
Linnaeusparkbuurt,Frankendael,2,2
Linnaeusparkbuurt,Don Bosco,2,2
Lizzy Ansinghbuurt,Wielingenbuurt,2,2
Lizzy Ansinghbuurt,Scheldebuurt West,2,2
Lizzy Ansinghbuurt,IJsselbuurt West,2,2
Lizzy Ansinghbuurt,Hercules Seghersbuurt,2,2
Lizzy Ansinghbuurt,Cornelis Troostbuurt,2,2
Loenermark,Rode Kruisbuurt,2,2
Loenermark,Elzenhagen,2,2
Lootsbuurt,Cremerbuurt West,1,1
Lootsbuurt,Bellamybuurt Zuid,1,1
Louis Chrispijnbuurt,Osdorp Zuidoost,1,1
Louis Chrispijnbuurt,Jacques Veldmanbuurt,1,1
Louis Chrispijnbuurt,Jacob Geelbuurt,1,1
Louis Chrispijnbuurt,Emanuel van Meterenbuurt,1,1
Louis Chrispijnbuurt,Calandlaan/Lelylaan,1,1
Lucas/Andreasziekenhuis e.o.,Sportparkstad,2,2
Lucas/Andreasziekenhuis e.o.,Slotermeer Zuid,2,2
Lucas/Andreasziekenhuis e.o.,Rembrandtpark Noord,2,2
Lucas/Andreasziekenhuis e.o.,Poolbuurt West,2,2
Lucas/Andreasziekenhuis e.o.,Overtoomse Veld Noord,2,2
Lucas/Andreasziekenhuis e.o.,Noordoever Sloterplas,2,2
Lucas/Andreasziekenhuis e.o.,Mercatorpark,2,2
Marathonbuurt Oost,Minervabuurt Zuid,2,2
Marathonbuurt Oost,Minervabuurt Noord,2,2
Marathonbuurt Oost,Hiltonbuurt,2,2
Marathonbuurt West,Van Tuyllbuurt,1,1
Marathonbuurt West,Schinkelbuurt Zuid,1,1
Marathonbuurt West,Olympisch Stadion e.o.,1,1
Marathonbuurt West,Bertelmanpleinbuurt,1,1
Marcanti,Markthallen,1,1
Marcanti,Frederik Hendrikbuurt Zuidwest,1,1
Marine-Etablissement,Rapenburg,1,1
Marine-Etablissement,Oosterdokseiland,1,1
Marine-Etablissement,Oostelijke Handelskade,1,1
Marine-Etablissement,Kattenburg,1,1
Marine-Etablissement,Kadijken,1,1
Markengouw Midden,Werengouw Noord,1,1
Markengouw Midden,Markengouw Zuid,1,1
Markengouw Midden,Markengouw Noord,1,1
Markengouw Midden,De Weeren,1,1
Markengouw Midden,Buikslotermeer Noord,1,1
Markengouw Noord,Werengouw Noord,1,1
Markengouw Noord,Nieuwendam Noordwest Zuid,1,1
Markengouw Noord,Nieuwendam Noordwest Noord,1,1
Markengouw Noord,Markengouw Midden,1,1
Markengouw Noord,Buikslotermeerpleinbuurt,1,1
Markengouw Noord,Buikslotermeer Noord,1,1
Markengouw Zuid,Schellingwoude Oost,1,1
Markengouw Zuid,Schellingwoude Noord,1,1
Markengouw Zuid,Markengouw Midden,1,1
Markengouw Zuid,De Weeren,1,1
Markthallen,Marcanti,1,1
Markthallen,Frederik Hendrikbuurt Zuidwest,1,1
Markthallen,Bedrijventerrein Landlust,1,1
Markthallen,Bedrijvencentrum Westerkwartier,1,1
Marnixbuurt Midden,Groenmarktkadebuurt,3,3
Marnixbuurt Midden,Frederik Hendrikbuurt Zuidoost,3,3
Marnixbuurt Noord,Zaagpoortbuurt,2,2
Marnixbuurt Noord,Planciusbuurt,2,2
Marnixbuurt Noord,Frederik Hendrikbuurt Noord,2,2
Marnixbuurt Zuid,Leidsebuurt Zuidwest,2,2
Marnixbuurt Zuid,De Costabuurt Noord,2,2
Medisch Centrum Slotervaart,Staalmanpleinbuurt,2,2
Medisch Centrum Slotervaart,Park Haagseweg,2,2
Medisch Centrum Slotervaart,Nieuw Sloten Noordoost,2,2
Meer en Oever,Wildeman,1,1
Meer en Oever,Osdorpplein e.o.,1,1
Meer en Oever,Ookmeer,1,1
Mercatorpark,Sportparkstad,2,2
Mercatorpark,Rembrandtpark Noord,2,2
Mercatorpark,Poolbuurt West,2,2
Mercatorpark,Overtoomse Veld Noord,2,2
Mercatorpark,Orteliusbuurt Noord,2,2
Mercatorpark,Orteliusbuurt Midden,2,2
Mercatorpark,Lucas/Andreasziekenhuis e.o.,2,2
Middelveldsche Akerpolder,De Punt,1,1
Middelveldsche Akerpolder,De Aker West,1,1
Middelveldsche Akerpolder,De Aker Oost,1,1
Middenmeer Noord,Science  Park Noord,1,1
Middenmeer Zuid,Tuindorp Frankendael,2,2
Middenmeer Zuid,Linnaeusparkbuurt,2,2
Middenmeer Zuid,Frankendael,2,2
Minervabuurt Noord,Marathonbuurt Oost,2,2
Minervabuurt Noord,Hiltonbuurt,2,2
Minervabuurt Noord,Beethovenbuurt,2,2
Minervabuurt Zuid,Prinses Irenebuurt,2,2
Minervabuurt Zuid,Marathonbuurt Oost,2,2
Minervabuurt Zuid,Diepenbrockbuurt,2,2
Minervabuurt Zuid,Beethovenbuurt,2,2
Molenwijk,Walvisbuurt,1,1
Molenwijk,Oostzanerdijk,1,1
Museumplein,Johannnes Vermeerbuurt,2,2
Museumplein,Hondecoeterbuurt,2,2
Museumplein,Concertgebouwbuurt,2,2
Nes e.o.,Oude Kerk e.o.,1,1
Nes e.o.,Burgwallen Oost,1,1
Nieuwe Diep/Diemerpark,Zeeburgereiland Zuidwest,1,1
Nieuwe Diep/Diemerpark,Zeeburgereiland Zuidoost,1,1
Nieuwe Diep/Diemerpark,Steigereiland Zuid,1,1
Nieuwe Diep/Diemerpark,Science Park Zuid,1,1
Nieuwe Diep/Diemerpark,Haveneiland Zuidwest/Rieteiland West,1,1
Nieuwe Diep/Diemerpark,Haveneiland Oost,1,1
Nieuwe Diep/Diemerpark,Flevopark,1,1
Nieuwe Kerk e.o.,Nieuwendijk Noord,2,2
Nieuwe Meer,Sloterweg e.o.,1,1
Nieuwe Meer,Riekerpolder,1,1
Nieuwe Meer,Riekerhaven,1,1
Nieuwe Meer,Amsterdamse Bos,1,1
Nieuwendammerdijk Oost,Werengouw Zuid,2,2
Nieuwendammerdijk West,Buiksloterdijk Oost,3,3
Nieuwendam Noordwest Noord,Nieuwendam Noordwest Zuid,1,1
Nieuwendam Noordwest Noord,Markengouw Noord,1,1
Nieuwendam Noordwest Noord,Jeugdland,1,1
Nieuwendam Noordwest Noord,Buikslotermeerpleinbuurt,1,1
Nieuwendam Noordwest Noord,Buikslotermeer Noord,1,1
Nieuwendam Noordwest Zuid,Werengouw Noord,1,1
Nieuwendam Noordwest Zuid,Nieuwendam Noordwest Noord,1,1
Nieuwendam Noordwest Zuid,Markengouw Noord,1,1
Nieuwendam Noordwest Zuid,Buikslotermeerpleinbuurt,1,1
Nieuwendijk Noord,Nieuwe Kerk e.o.,2,2
Nieuwe Oosterbegraafplaats,Sportpark Middenmeer Zuid,1,1
Nieuwe Oosterbegraafplaats,Drieburg,1,1
Nieuwe Oosterbegraafplaats,De Wetbuurt,1,1
Nieuwe Oosterbegraafplaats,Betondorp,1,1
Nieuwmarkt,Uilenburg,1,1
Nieuwmarkt,Burgwallen Oost,1,1
Nieuw Sloten Noordoost,Medisch Centrum Slotervaart,2,2
Nieuw Sloten Noordwest,Osdorp Zuidoost,1,1
Nieuw Sloten Noordwest,Nieuw Sloten Zuidwest,1,1
Nieuw Sloten Zuidoost,Sloterweg e.o.,1,1
Nieuw Sloten Zuidoost,Nieuw Sloten Zuidwest,1,1
Nieuw Sloten Zuidwest,Sloterweg e.o.,1,1
Nieuw Sloten Zuidwest,Nieuw Sloten Zuidoost,1,1
Nieuw Sloten Zuidwest,Nieuw Sloten Noordwest,1,1
Noorder IJplas,Walvisbuurt,1,1
Noorder IJplas,Petroleumhaven,1,1
Noorder IJplas,Oostzanerdijk,1,1
Noorder IJplas,Cornelis Douwesterrein,1,1
Noorder IJplas,Coenhaven/Mercuriushaven,1,1
Noordoever Sloterplas,Sportparkstad,2,2
Noordoever Sloterplas,Slotermeer Zuid,2,2
Noordoever Sloterplas,Lucas/Andreasziekenhuis e.o.,2,2
Noordoostkwadrant Indische buurt,Zeeburgerdijk Oost,2,2
Noordwestkwadrant Indische buurt Noord,Polderweggebied,1,1
Noordwestkwadrant Indische buurt Noord,Noordwestkwadrant Indische buurt Zuid,1,1
Noordwestkwadrant Indische buurt Noord,Bedrijvengebied Zeeburgerkade,1,1
Noordwestkwadrant Indische buurt Zuid,Zuidwestkadrant Indische buurt,1,1
Noordwestkwadrant Indische buurt Zuid,Zuidoostkwadrant Indische buurt,1,1
Noordwestkwadrant Indische buurt Zuid,Polderweggebied,1,1
Noordwestkwadrant Indische buurt Zuid,Noordwestkwadrant Indische buurt Noord,1,1
Olympisch Stadion e.o.,Zuidas Noord,1,1
Olympisch Stadion e.o.,Van Tuyllbuurt,1,1
Olympisch Stadion e.o.,Schinkelbuurt Zuid,1,1
Olympisch Stadion e.o.,Marathonbuurt West,1,1
Olympisch Stadion e.o.,Bertelmanpleinbuurt,1,1
Ookmeer,Wildeman,1,1
Ookmeer,Osdorper Bovenpolder,1,1
Ookmeer,Meer en Oever,1,1
Ookmeer,Buurt 7,1,1
Ookmeer,Buurt 6,1,1
Oostelijke Handelskade,Wittenburg,1,1
Oostelijke Handelskade,Oosterdokseiland,1,1
Oostelijke Handelskade,Marine-Etablissement,1,1
Oostelijke Handelskade,Kattenburg,1,1
Oostelijke Handelskade,Java-eiland,1,1
Oostelijke Handelskade,IJplein e.o.,1,1
Oostenburg,Wittenburg,1,1
Oostenburg,Kadijken,1,1
Oosterdokseiland,Stationsplein e.o.,1,1
Oosterdokseiland,Rapenburg,1,1
Oosterdokseiland,Oostelijke Handelskade,1,1
Oosterdokseiland,Marine-Etablissement,1,1
Oosterdokseiland,Kop Zeedijk,1,1
Oosterdokseiland,Java-eiland,1,1
Oosterdokseiland,IJplein e.o.,1,1
Oosterpark,Oosterparkbuurt Zuidwest,1,1
Oosterpark,Oosterparkbuurt Zuidoost,1,1
Oosterpark,Oosterparkbuurt Noordwest,1,1
Oosterparkbuurt Noordwest,Weesperzijde Midden/Zuid,1,1
Oosterparkbuurt Noordwest,Swammerdambuurt,1,1
Oosterparkbuurt Noordwest,Parooldriehoek,1,1
Oosterparkbuurt Noordwest,Oosterparkbuurt Zuidwest,1,1
Oosterparkbuurt Noordwest,Oosterparkbuurt Zuidoost,1,1
Oosterparkbuurt Noordwest,Oosterpark,1,1
Oosterparkbuurt Zuidoost,Transvaalbuurt West,1,1
Oosterparkbuurt Zuidoost,Transvaalbuurt Oost,1,1
Oosterparkbuurt Zuidoost,Polderweggebied,1,1
Oosterparkbuurt Zuidoost,Oosterparkbuurt Zuidwest,1,1
Oosterparkbuurt Zuidoost,Oosterparkbuurt Noordwest,1,1
Oosterparkbuurt Zuidoost,Oosterpark,1,1
Oosterparkbuurt Zuidwest,Weesperzijde Midden/Zuid,1,1
Oosterparkbuurt Zuidwest,Transvaalbuurt West,1,1
Oosterparkbuurt Zuidwest,Transvaalbuurt Oost,1,1
Oosterparkbuurt Zuidwest,Swammerdambuurt,1,1
Oosterparkbuurt Zuidwest,Parooldriehoek,1,1
Oosterparkbuurt Zuidwest,Oosterparkbuurt Zuidoost,1,1
Oosterparkbuurt Zuidwest,Oosterparkbuurt Noordwest,1,1
Oosterparkbuurt Zuidwest,Oosterpark,1,1
Oostoever Sloterplas,Jacob Geelbuurt,1,1
Oostoever Sloterplas,Emanuel van Meterenbuurt,1,1
Oostzanerdijk,Walvisbuurt,1,1
Oostzanerdijk,Twiske West,1,1
Oostzanerdijk,Tuindorp Oostzaan West,1,1
Oostzanerdijk,Tuindorp Oostzaan Oost,1,1
Oostzanerdijk,Terrasdorp,1,1
Oostzanerdijk,Noorder IJplas,1,1
Oostzanerdijk,Molenwijk,1,1
Oostzanerdijk,Kadoelen,1,1
Oostzanerdijk,Cornelis Douwesterrein,1,1
Orteliusbuurt Midden,Rembrandtpark Noord,2,2
Orteliusbuurt Midden,Orteliusbuurt Zuid,2,2
Orteliusbuurt Midden,Orteliusbuurt Noord,2,2
Orteliusbuurt Midden,Mercatorpark,2,2
