a_hood,b_hood,a_scale,b_scale
Bedrijvencentrum Westerkwartier,Bedrijventerrein Landlust,1,1
Bedrijvengebied Cruquiusweg,Zeeburgereiland Zuidwest,1,1
Bedrijvengebied Cruquiusweg,Zeeburgereiland Noordwest,1,1
Bedrijvengebied Cruquiusweg,Sporenburg,1,1
Bedrijvengebied Cruquiusweg,Borneo,1,1
Bedrijvengebied Cruquiusweg,Bedrijvengebied Zeeburgerkade,1,1
Bedrijvengebied Cruquiusweg,Architectenbuurt,1,1
Bedrijvengebied Veelaan,Bedrijvengebied Zeeburgerkade,1,1
Bedrijvengebied Veelaan,Architectenbuurt,1,1
Bedrijvengebied Zeeburgerkade,Noordwestkwadrant Indische buurt Noord,1,1
Bedrijvengebied Zeeburgerkade,Het Funen,1,1
Bedrijvengebied Zeeburgerkade,Bedrijvengebied Veelaan,1,1
Bedrijvengebied Zeeburgerkade,Bedrijvengebied Cruquiusweg,1,1
Bedrijvengebied Zeeburgerkade,Architectenbuurt,1,1
Bedrijventerrein Landlust,Sloterdijk,1,1
Bedrijventerrein Landlust,Markthallen,1,1
Bedrijventerrein Landlust,Bedrijvencentrum Westerkwartier,1,1
Bedrijventerrein Nieuwendammerdijk,Schellingwoude West,1,1
Bedrijventerrein Nieuwendammerdijk,Schellingwoude Oost,1,1
Bedrijventerrein Nieuwendammerdijk,KNSM-eiland,1,1
Bedrijventerrein Schinkel,Schinkelbuurt Zuid,1,1
Bedrijventerrein Schinkel,Riekerhaven,1,1
Bedrijventerrein Schinkel,Delflandpleinbuurt Oost,1,1
Bedrijventerrein Schinkel,Amsterdamse Bos,1,1
Beethovenbuurt,Minervabuurt Zuid,2,2
Beethovenbuurt,Minervabuurt Noord,2,2
Beethovenbuurt,Hondecoeterbuurt,2,2
Beethovenbuurt,Hiltonbuurt,2,2
Beethovenbuurt,Harmoniehofbuurt,2,2
Beethovenbuurt,Diepenbrockbuurt,2,2
Begijnhofbuurt,Spuistraat Zuid,3,3
Begijnhofbuurt,Kalverdriehoek,3,3
Bellamybuurt Noord,Frederik Hendrikbuurt Zuidwest,1,1
Bellamybuurt Noord,Bellamybuurt Zuid,1,1
Bellamybuurt Zuid,Lootsbuurt,1,1
Bellamybuurt Zuid,Da Costabuurt Zuid,1,1
Bellamybuurt Zuid,Bellamybuurt Noord,1,1
Bertelmanpleinbuurt,Valeriusbuurt West,1,1
Bertelmanpleinbuurt,Schinkelbuurt Zuid,1,1
Bertelmanpleinbuurt,Olympisch Stadion e.o.,1,1
Bertelmanpleinbuurt,Marathonbuurt West,1,1
Betondorp,Weespertrekvaart,1,1
Betondorp,Sportpark Middenmeer Zuid,1,1
Betondorp,Park de Meer,1,1
Betondorp,Nieuwe Oosterbegraafplaats,1,1
Betondorp,Drieburg,1,1
Bijlmermuseum Noord,Kortvoort,1,1
Bijlmermuseum Noord,Grunder/Koningshoef,1,1
Bijlmermuseum Noord,G-buurt West,1,1
Bijlmerpark Oost,Vogeltjeswei,1,1
Bijlmerpark Oost,L-buurt,1,1
Bijlmerpark Oost,Kortvoort,1,1
Bijlmerpark Oost,Kelbergen,1,1
Bijlmerpark Oost,Holendrecht Oost,1,1
Bijlmerpark Oost,G-buurt West,1,1
Bijlmerpark Oost,Bijlmerpark West,1,1
Bijlmerpark West,Vogeltjeswei,1,1
Bijlmerpark West,Rechte H-buurt,1,1
Bijlmerpark West,L-buurt,1,1
Bijlmerpark West,Huntum,1,1
Bijlmerpark West,Holendrecht Oost,1,1
Bijlmerpark West,G-buurt West,1,1
Bijlmerpark West,Bijlmerpark Oost,1,1
Bijlmerpark West,Amsterdamse Poort,1,1
Blauwe Zand,Rode Kruisbuurt,2,2
Bloemenbuurt Noord,Vogelbuurt Noord,1,1
Bloemenbuurt Noord,Papaverweg e.o.,1,1
Bloemenbuurt Noord,Buiksloterbreek,1,1
Bloemenbuurt Zuid,Vogelbuurt Zuid,2,2
Bloemenbuurt Zuid,Van der Pekbuurt,2,2
Bloemgrachtbuurt,Zaagpoortbuurt,2,2
Borgerbuurt,De Costabuurt Noord,2,2
Borgerbuurt,Cremerbuurt Oost,2,2
Borneo,Sporenburg,1,1
Borneo,Bedrijvengebied Cruquiusweg,1,1
Borneo,Architectenbuurt,1,1
Bosleeuw,Poolbuurt West,2,2
Bosleeuw,Landlust,2,2
Bosleeuw,Erasmusparkbuurt Oost,2,2
Bretten Oost,Teleport,1,1
Bretten Oost,Sloterdijk III Oost,1,1
Bretten Oost,Sloterdijk II,1,1
Bretten Oost,Eendrachtspark,1,1
Bretten Oost,Buurt 9,1,1
Bretten Oost,Buurt 4 Oost,1,1
Bretten Oost,Buurt 3,1,1
Bretten Oost,Bretten West,1,1
Bretten West,Sloterdijk III West,1,1
Bretten West,Sloterdijk III Oost,1,1
Bretten West,Osdorper Binnenpolder,1,1
Bretten West,De Heining,1,1
Bretten West,Buurt 9,1,1
Bretten West,Bretten Oost,1,1
Buiksloterbreek,Terrasdorp,1,1
Buiksloterbreek,Papaverweg e.o.,1,1
Buiksloterbreek,De Bongerd,1,1
Buiksloterbreek,Bloemenbuurt Noord,1,1
Buiksloterbreek,Banne Zuidwest,1,1
Buiksloterbreek,Banne Zuidoost,1,1
Buiksloterdijk Oost,Nieuwendammerdijk West,3,3
Buiksloterdijk Oost,Buiksloterdijk West,3,3
Buiksloterdijk West,Buiksloterdijk Oost,3,3
Buiksloterham,Papaverweg e.o.,1,1
Buiksloterham,Overhoeks,1,1
Buiksloterham,Houthavens Oost,1,1
Buiksloterham,Cornelis Douwesterrein,1,1
Buikslotermeer Noord,Zunderdorp,1,1
Buikslotermeer Noord,Nieuwendam Noordwest Noord,1,1
Buikslotermeer Noord,Markengouw Noord,1,1
Buikslotermeer Noord,Markengouw Midden,1,1
Buikslotermeer Noord,Jeugdland,1,1
Buikslotermeer Noord,De Weeren,1,1
Buikslotermeer Noord,Banne Noordoost,1,1
Buikslotermeerpleinbuurt,Werengouw Noord,1,1
Buikslotermeerpleinbuurt,Tuindorp Nieuwendam West,1,1
Buikslotermeerpleinbuurt,Nieuwendam Noordwest Zuid,1,1
Buikslotermeerpleinbuurt,Nieuwendam Noordwest Noord,1,1
Buikslotermeerpleinbuurt,Markengouw Noord,1,1
Buitenveldert Oost Midden,Gelderlandpleinbuurt,1,1
Buitenveldert Oost Midden,De Klenckebuurt,1,1
Buitenveldert Oost Midden,Buitenveldert Zuidoost,1,1
Buitenveldert Oost Midden,Amstelpark,1,1
Buitenveldert West Midden,Zuiderhof,1,1
Buitenveldert West Midden,VU-kwartier,1,1
Buitenveldert West Midden,Gelderlandpleinbuurt,1,1
Buitenveldert West Midden,Buitenveldert Zuidwest,1,1
Buitenveldert West Midden,Amsterdamse Bos,1,1
Buitenveldert Zuidoost,Gelderlandpleinbuurt,1,1
Buitenveldert Zuidoost,Buitenveldert Oost Midden,1,1
Buitenveldert Zuidoost,Amstelpark,1,1
Buitenveldert Zuidwest,Gelderlandpleinbuurt,1,1
Buitenveldert Zuidwest,Buitenveldert West Midden,1,1
Buitenveldert Zuidwest,Amsterdamse Bos,1,1
Burgemeester Tellegenbuurt Oost,Willibrordusbuurt,1,1
Burgemeester Tellegenbuurt Oost,Van der Helstpleinbuurt,1,1
Burgemeester Tellegenbuurt Oost,Diamantbuurt,1,1
Burgemeester Tellegenbuurt Oost,Burgemeester Tellegenbuurt West,1,1
Burgemeester Tellegenbuurt West,Van der Helstpleinbuurt,1,1
Burgemeester Tellegenbuurt West,Burgemeester Tellegenbuurt Oost,1,1
Burgwallen Oost,Oude Kerk e.o.,1,1
Burgwallen Oost,Nieuwmarkt,1,1
Burgwallen Oost,Nes e.o.,1,1
Burgwallen Oost,Kop Zeedijk,1,1
Buurt 2,Sportparkstad,2,2
Buurt 2,Slotermeer Zuid,2,2
Buurt 3,Teleport,1,1
Buurt 3,Kolenkitbuurt Zuid,1,1
Buurt 3,Kolenkitbuurt Noord,1,1
Buurt 3,Buurt 4 Oost,1,1
Buurt 3,Bretten Oost,1,1
Buurt 4 Oost,Eendrachtspark,1,1
Buurt 4 Oost,Buurt 9,1,1
Buurt 4 Oost,Buurt 8,1,1
Buurt 4 Oost,Buurt 5 Noord,1,1
Buurt 4 Oost,Buurt 3,1,1
Buurt 4 Oost,Bretten Oost,1,1
Buurt 5 Noord,Buurt 8,1,1
Buurt 5 Noord,Buurt 6,1,1
Buurt 5 Noord,Buurt 5 Zuid,1,1
Buurt 5 Noord,Buurt 4 Oost,1,1
Buurt 5 Zuid,Buurt 8,1,1
Buurt 5 Zuid,Buurt 6,1,1
Buurt 5 Zuid,Buurt 5 Noord,1,1
Buurt 6,Ookmeer,1,1
Buurt 6,Buurt 8,1,1
Buurt 6,Buurt 7,1,1
Buurt 6,Buurt 5 Zuid,1,1
Buurt 6,Buurt 5 Noord,1,1
Buurt 7,Osdorper Bovenpolder,1,1
Buurt 7,Osdorper Binnenpolder,1,1
Buurt 7,Ookmeer,1,1
Buurt 7,Buurt 9,1,1
Buurt 7,Buurt 8,1,1
Buurt 7,Buurt 6,1,1
Buurt 8,Eendrachtspark,1,1
Buurt 8,Buurt 9,1,1
Buurt 8,Buurt 7,1,1
Buurt 8,Buurt 6,1,1
Buurt 8,Buurt 5 Zuid,1,1
Buurt 8,Buurt 5 Noord,1,1
Buurt 8,Buurt 4 Oost,1,1
Buurt 9,Eendrachtspark,1,1
Buurt 9,Buurt 8,1,1
Buurt 9,Buurt 7,1,1
Buurt 9,Buurt 4 Oost,1,1
Buurt 9,Bretten West,1,1
Buurt 9,Bretten Oost,1,1
Buyskade e.o.,Westerstaatsman,2,2
Buyskade e.o.,Frederik Hendrikbuurt Noord,2,2
Buyskade e.o.,Fannius Scholtenbuurt,2,2
Calandlaan/Lelylaan,Osdorp Zuidoost,1,1
Calandlaan/Lelylaan,Osdorpplein e.o.,1,1
Calandlaan/Lelylaan,Louis Chrispijnbuurt,1,1
Calandlaan/Lelylaan,Emanuel van Meterenbuurt,1,1
Centrumeiland,Haveneiland Oost,1,1
Centrumeiland,Haveneiland Noordwest,1,1
Centrumeiland,Haveneiland Noord,1,1
Coenhaven/Mercuriushaven,Vervoerscentrum,1,1
Coenhaven/Mercuriushaven,Petroleumhaven,1,1
Coenhaven/Mercuriushaven,Overbraker Binnenpolder,1,1
Coenhaven/Mercuriushaven,Noorder IJplas,1,1
